DATE,DISP_INCOME
2012-12-01,41192.0
2013-01-01,38789.0
2013-02-01,38663.0
2013-03-01,38760.0
2013-04-01,38855.0
2013-05-01,39019.0
2013-06-01,39004.0
2013-07-01,38942.0
2013-08-01,39003.0
2013-09-01,39137.0
2013-10-01,38995.0
2013-11-01,39067.0
2013-12-01,39125.0
2014-01-01,39292.0
2014-02-01,39478.0
2014-03-01,39672.0
2014-04-01,39806.0
2014-05-01,39925.0
2014-06-01,40062.0
2014-07-01,40151.0
2014-08-01,40311.0
2014-09-01,40413.0
2014-10-01,40559.0
2014-11-01,40743.0
2014-12-01,40991.0
2015-01-01,41199.0
2015-02-01,41324.0
2015-03-01,41182.0
2015-04-01,41248.0
2015-05-01,41290.0
2015-06-01,41288.0
2015-07-01,41355.0
2015-08-01,41420.0
2015-09-01,41504.0
2015-10-01,41560.0
2015-11-01,41526.0
2015-12-01,41699.0
2016-01-01,41827.0
2016-02-01,41850.0
2016-03-01,41829.0
2016-04-01,41727.0
2016-05-01,41680.0
2016-06-01,41672.0
2016-07-01,41784.0
2016-08-01,41791.0
2016-09-01,41852.0
2016-10-01,41884.0
2016-11-01,41952.0
2016-12-01,42013.0
2017-01-01,42182.0
2017-02-01,42274.0
2017-03-01,42428.0
2017-04-01,42481.0
2017-05-01,42742.0
2017-06-01,42724.0
2017-07-01,42809.0
2017-08-01,42806.0
2017-09-01,42834.0
2017-10-01,42895.0
2017-11-01,42907.0
2017-12-01,42950.0
2018-01-01,43217.0
2018-02-01,43277.0
2018-03-01,43392.0
2018-04-01,43476.0
2018-05-01,43591.0
2018-06-01,43733.0
2018-07-01,43909.0
2018-08-01,44053.0
2018-09-01,44031.0
2018-10-01,44150.0
2018-11-01,44272.0
2018-12-01,44814.0
2019-01-01,44854.0
2019-02-01,44974.0
2019-03-01,44985.0
2019-04-01,44870.0
2019-05-01,44860.0
2019-06-01,44920.0
2019-07-01,44991.0
2019-08-01,45234.0
2019-09-01,45332.0
2019-10-01,45376.0
2019-11-01,45542.0
2019-12-01,45325.0
2020-01-01,45708.0
2020-02-01,45948.0
2020-03-01,45256.0
2020-04-01,51996.0
2020-05-01,49515.0
2020-06-01,49054.0
2020-07-01,49344.0
2020-08-01,47426.0
2020-09-01,47596.0
2020-10-01,47373.0
2020-11-01,46745.0
2020-12-01,46790.0
2021-01-01,51505.0
2021-02-01,47181.0
2021-03-01,57872.0
2021-04-01,48979.0
2021-05-01,47541.0
2021-06-01,47282.0
2021-07-01,47605.0
2021-08-01,47528.0
2021-09-01,46844.0
2021-10-01,46845.0
2021-11-01,46706.0
2021-12-01,46515.0
2022-01-01,45470.0
2022-02-01,45428.0
2022-03-01,45230.0
2022-04-01,45186.0
2022-05-01,45111.0
2022-06-01,44902.0
2022-07-01,45261.0
2022-08-01,45385.0
2022-09-01,45429.0
2022-10-01,45712.0
2022-11-01,45868.0
2022-12-01,45952.0
2023-01-01,46605.0
2023-02-01,46664.0
2023-03-01,46782.0
